location,category_name,item_name,gross_sales,net_sales,amount_sold,discounts,avg_item_size
VF,Uncategorized,Athena Lace Maxi 2 alba,1044.00,1044.00,3,0.00,348.00
VF,Uncategorized,Athena Lace Maxi 8  alba,1044.00,1044.00,3,0.00,348.00
VF,Uncategorized,Elsa Corset Midi Narnia 2 ,1044.00,1044.00,3,0.00,348.00
VF,Uncategorized,Viola Lace Maxi white 0,1044.00,1044.00,3,0.00,348.00
VF,Uncategorized,Viola Lace Maxi white 2,1392.00,1044.00,4,0.00,348.00
VF,Uncategorized,Casey Midi 0 moonstone,1040.00,1040.00,5,0.00,208.00
VF,Uncategorized,Elsa Corset Midi Narnia 6 ,1044.00,1026.60,3,-17.40,342.20
VF,Uncategorized,Mariella Mini 8  Rain,948.00,948.00,6,0.00,158.00
VF,Uncategorized,Willow Maxi 2 Sapphire,912.00,912.00,4,0.00,228.00
VF,Uncategorized,Willow Maxi 6 Sapphire,912.00,912.00,4,0.00,228.00
VF,Uncategorized,Willow Maxi 8 Sapphire,912.00,912.00,4,0.00,228.00
VF,Uncategorized,Nova Midi Parfait 2 ,894.00,894.00,3,0.00,298.00
VF,Uncategorized,Valerie Maxi Love letter 2 ,862.00,862.00,4,0.00,215.50
VF,Uncategorized,Valerie Maxi blue jay 4 ,832.00,832.00,4,0.00,208.00
VF,Uncategorized,Zoe Midi 0 winter,832.00,832.00,4,0.00,208.00
VF,Uncategorized,Lila Maxi aster 2 ,872.00,828.40,4,-43.60,207.10
VF,Uncategorized,Peyton Midi Chateau 4,1090.00,828.40,5,-43.60,207.10
VF,Uncategorized,Valerie Maxi blue jay 2 ,832.00,790.40,4,-41.60,197.60
VF,Uncategorized,Val Midi 4  moonlit,832.00,780.00,4,-52.00,195.00
VF,Uncategorized,Everly Mini Swan 2,752.00,752.00,4,0.00,188.00
VF,Uncategorized,Everly Mini Swan 4,752.00,723.80,4,-28.20,180.95
VF,Uncategorized,Everly Mini Verona 2,712.00,712.00,4,0.00,178.00
VF,Uncategorized,Athena Lace Maxi 0 alba,696.00,696.00,2,0.00,348.00
VF,Uncategorized,Athena Lace Maxi 6  alba,696.00,696.00,2,0.00,348.00
VF,Uncategorized,Elsa Corset Midi Narnia 0 ,696.00,696.00,2,0.00,348.00
VF,Uncategorized,Viola Lace Maxi white 10 ,696.00,696.00,2,0.00,348.00
VF,Uncategorized,Viola Lace Maxi white 4 ,696.00,696.00,2,0.00,348.00
VF,Uncategorized,Everly Mini Swan 0,752.00,695.60,4,-56.40,173.90
VF,Uncategorized,Mimi Maxi 2  wallflower ,684.00,684.00,3,0.00,228.00
VF,Uncategorized,Willow Maxi 2 Buttercream ,684.00,684.00,3,0.00,228.00
VF,Uncategorized,Willow Maxi 4 Sapphire,684.00,684.00,3,0.00,228.00
VF,Uncategorized,Viola Lace Maxi white 6 ,696.00,678.60,2,-17.40,339.30
VF,Uncategorized,Malia Lace Maxi 0 Black Lace,676.00,676.00,2,0.00,338.00
VF,Uncategorized,Chun Li Mini 0  Rouge,672.00,672.00,4,0.00,168.00
VF,Uncategorized,Lila Maxi aster 0 ,654.00,654.00,3,0.00,218.00
VF,Uncategorized,Lila Maxi aster 8 ,654.00,654.00,3,0.00,218.00
VF,Uncategorized,Peyton Midi Chateau 6,654.00,654.00,3,0.00,218.00
VF,Uncategorized,Valerie Maxi Love letter 4 ,654.00,654.00,3,0.00,218.00
VF,Uncategorized,Sedona Midi 4 Naples,654.00,643.10,3,-10.90,214.37
VF,Uncategorized,Evangeline Maxi 0  baby blue,624.00,624.00,3,0.00,208.00
VF,Uncategorized,Nora Midi palermo 0,624.00,624.00,3,0.00,208.00
VF,Uncategorized,Rosalanh Midi 0  cherry ,624.00,624.00,3,0.00,208.00
VF,Uncategorized,Sedona Midi 8  black,624.00,624.00,3,0.00,208.00
VF,Uncategorized,Val Midi 6  moonlit,624.00,624.00,3,0.00,208.00
VF,Uncategorized,Val Midi 8  Black chiffon,624.00,624.00,3,0.00,208.00
VF,Uncategorized,Val Midi 8  moonlit,624.00,624.00,3,0.00,208.00
VF,Uncategorized,Valerie Maxi White 4 ,624.00,624.00,3,0.00,208.00
VF,Uncategorized,Valerie Maxi White 6 ,624.00,624.00,3,0.00,208.00
VF,Uncategorized,Windellia Midi 4  Black,654.00,621.30,3,-32.70,207.10
VF,Uncategorized,Quinn Maxi Kyoto 4 ,624.00,603.20,3,-20.80,201.07
VF,Uncategorized,Solstice Two-Piece Mini aster 2 ,594.00,594.00,3,0.00,198.00
